address,post_code,state,city,url,latitude,longitude
5146 25th Ave Ne,98105-4121,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/5146-25th-ave-ne/1697.html,47.667733,-122.30035500000001
5400 14th Ave Nw,98107-3733,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/5400-14th-ave-nw/459.html,47.668354,-122.37307
2807 78th St Se,98040-2818,"Island,",Mercer,https://www.mcdonalds.com//content/us/en-us/location/wa/mercer-island/2807-78th-st-se/11027.html,47.585426,-122.23458799999999
6305 Martin Luther King Jr Way S,98118,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/6305-martin-luther-king-jr-way-s/13366.html,47.545613,-122.285898
6305 Martin Luther King Jr Way S,98118,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/6305-martin-luther-king-jr-way-s/13366.html,47.545613,-122.285898
9304 Rainier Ave S,98118-5502,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/9304-rainier-ave-s/4891.html,47.520192,-122.266902
9610 Des Moines Memorial Dr S,98108-5032,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/9610-des-moines-memorial-dr-s/13369.html,47.516667,-122.314499
2336 25th Ave S,98144-5337,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/2336-25th-ave-s/435.html,47.581633,-122.300053
2807 78th St Se,98040-2818,"Island,",Mercer,https://www.mcdonalds.com//content/us/en-us/location/wa/mercer-island/2807-78th-st-se/11027.html,47.585426,-122.234588
1705 Ne 44th,98056,Wa,Renton,https://www.mcdonalds.com//content/us/en-us/location/wa/renton/1705-ne-44th/10603.html,47.531989,-122.195173
